@relation bank-data

@attribute _id {ID12101,ID12102,ID12103,ID12104,ID12105,ID12106,ID12107,ID12108,ID12109,ID12110,ID12111,ID12112,ID12113,ID12114,ID12115,ID12116,ID12117,ID12118,ID12119,ID12120,ID12121,ID12122,ID12123,ID12124,ID12125,ID12126,ID12127,ID12128,ID12129,ID12130,ID12131,ID12132,ID12133,ID12134,ID12135,ID12136,ID12137,ID12138,ID12139,ID12140,ID12141,ID12142,ID12143,ID12144,ID12145,ID12146,ID12147,ID12148,ID12149,ID12150,ID12151,ID12152,ID12153,ID12154,ID12155,ID12156,ID12157,ID12158,ID12159,ID12160,ID12161,ID12162,ID12163,ID12164,ID12165,ID12166,ID12167,ID12168,ID12169,ID12170,ID12171,ID12172,ID12173,ID12174,ID12175,ID12176,ID12177,ID12178,ID12179,ID12180,ID12181,ID12182,ID12183,ID12184,ID12185,ID12186,ID12187,ID12188,ID12189,ID12190,ID12191,ID12192,ID12193,ID12194,ID12195,ID12196,ID12197,ID12198,ID12199,ID12200,ID12201,ID12202,ID12203,ID12204,ID12205,ID12206,ID12207,ID12208,ID12209,ID12210,ID12211,ID12212,ID12213,ID12214,ID12215,ID12216,ID12217,ID12218,ID12219,ID12220,ID12221,ID12222,ID12223,ID12224,ID12225,ID12226,ID12227,ID12228,ID12229,ID12230,ID12231,ID12232,ID12233,ID12234,ID12235,ID12236,ID12237,ID12238,ID12239,ID12240,ID12241,ID12242,ID12243,ID12244,ID12245,ID12246,ID12247,ID12248,ID12249,ID12250,ID12251,ID12252,ID12253,ID12254,ID12255,ID12256,ID12257,ID12258,ID12259,ID12260,ID12261,ID12262,ID12263,ID12264,ID12265,ID12266,ID12267,ID12268,ID12269,ID12270,ID12271,ID12272,ID12273,ID12274,ID12275,ID12276,ID12277,ID12278,ID12279,ID12280,ID12281,ID12282,ID12283,ID12284,ID12285,ID12286,ID12287,ID12288,ID12289,ID12290,ID12291,ID12292,ID12293,ID12294,ID12295,ID12296,ID12297,ID12298,ID12299,ID12300,ID12301,ID12302,ID12303,ID12304,ID12305,ID12306,ID12307,ID12308,ID12309,ID12310,ID12311,ID12312,ID12313,ID12314,ID12315,ID12316,ID12317,ID12318,ID12319,ID12320,ID12321,ID12322,ID12323,ID12324,ID12325,ID12326,ID12327,ID12328,ID12329,ID12330,ID12331,ID12332,ID12333,ID12334,ID12335,ID12336,ID12337,ID12338,ID12339,ID12340,ID12341,ID12342,ID12343,ID12344,ID12345,ID12346,ID12347,ID12348,ID12349,ID12350,ID12351,ID12352,ID12353,ID12354,ID12355,ID12356,ID12357,ID12358,ID12359,ID12360,ID12361,ID12362,ID12363,ID12364,ID12365,ID12366,ID12367,ID12368,ID12369,ID12370,ID12371,ID12372,ID12373,ID12374,ID12375,ID12376,ID12377,ID12378,ID12379,ID12380,ID12381,ID12382,ID12383,ID12384,ID12385,ID12386,ID12387,ID12388,ID12389,ID12390,ID12391,ID12392,ID12393,ID12394,ID12395,ID12396,ID12397,ID12398,ID12399,ID12400,ID12401,ID12402,ID12403,ID12404,ID12405,ID12406,ID12407,ID12408,ID12409,ID12410,ID12411,ID12412,ID12413,ID12414,ID12415,ID12416,ID12417,ID12418,ID12419,ID12420,ID12421,ID12422,ID12423,ID12424,ID12425,ID12426,ID12427,ID12428,ID12429,ID12430,ID12431,ID12432,ID12433,ID12434,ID12435,ID12436,ID12437,ID12438,ID12439,ID12440,ID12441,ID12442,ID12443,ID12444,ID12445,ID12446,ID12447,ID12448,ID12449,ID12450,ID12451,ID12452,ID12453,ID12454,ID12455,ID12456,ID12457,ID12458,ID12459,ID12460,ID12461,ID12462,ID12463,ID12464,ID12465,ID12466,ID12467,ID12468,ID12469,ID12470,ID12471,ID12472,ID12473,ID12474,ID12475,ID12476,ID12477,ID12478,ID12479,ID12480,ID12481,ID12482,ID12483,ID12484,ID12485,ID12486,ID12487,ID12488,ID12489,ID12490,ID12491,ID12492,ID12493,ID12494,ID12495,ID12496,ID12497,ID12498,ID12499,ID12500,ID12501,ID12502,ID12503,ID12504,ID12505,ID12506,ID12507,ID12508,ID12509,ID12510,ID12511,ID12512,ID12513,ID12514,ID12515,ID12516,ID12517,ID12518,ID12519,ID12520,ID12521,ID12522,ID12523,ID12524,ID12525,ID12526,ID12527,ID12528,ID12529,ID12530,ID12531,ID12532,ID12533,ID12534,ID12535,ID12536,ID12537,ID12538,ID12539,ID12540,ID12541,ID12542,ID12543,ID12544,ID12545,ID12546,ID12547,ID12548,ID12549,ID12550,ID12551,ID12552,ID12553,ID12554,ID12555,ID12556,ID12557,ID12558,ID12559,ID12560,ID12561,ID12562,ID12563,ID12564,ID12565,ID12566,ID12567,ID12568,ID12569,ID12570,ID12571,ID12572,ID12573,ID12574,ID12575,ID12576,ID12577,ID12578,ID12579,ID12580,ID12581,ID12582,ID12583,ID12584,ID12585,ID12586,ID12587,ID12588,ID12589,ID12590,ID12591,ID12592,ID12593,ID12594,ID12595,ID12596,ID12597,ID12598,ID12599,ID12600,ID12601,ID12602,ID12603,ID12604,ID12605,ID12606,ID12607,ID12608,ID12609,ID12610,ID12611,ID12612,ID12613,ID12614,ID12615,ID12616,ID12617,ID12618,ID12619,ID12620,ID12621,ID12622,ID12623,ID12624,ID12625,ID12626,ID12627,ID12628,ID12629,ID12630,ID12631,ID12632,ID12633,ID12634,ID12635,ID12636,ID12637,ID12638,ID12639,ID12640,ID12641,ID12642,ID12643,ID12644,ID12645,ID12646,ID12647,ID12648,ID12649,ID12650,ID12651,ID12652,ID12653,ID12654,ID12655,ID12656,ID12657,ID12658,ID12659,ID12660,ID12661,ID12662,ID12663,ID12664,ID12665,ID12666,ID12667,ID12668,ID12669,ID12670,ID12671,ID12672,ID12673,ID12674,ID12675,ID12676,ID12677,ID12678,ID12679,ID12680,ID12681,ID12682,ID12683,ID12684,ID12685,ID12686,ID12687,ID12688,ID12689,ID12690,ID12691,ID12692,ID12693,ID12694,ID12695,ID12696,ID12697,ID12698,ID12699,ID12700}
@attribute age numeric
@attribute sex {MALE,FEMALE}
@attribute region {INNER_CITY,TOWN,RURAL,SUBURBAN}
@attribute income numeric
@attribute married {YES,NO}
@attribute children numeric
@attribute car {YES,NO}
@attribute save_act {NO,YES}
@attribute current_act {NO,YES}
@attribute mortgage {NO,YES}
@attribute pep {YES,NO}

@data
ID12180,58,FEMALE,TOWN,34524.9,YES,?,YES,YES,NO,NO,YES
ID12181,50,?,TOWN,22052.1,?,?,?,YES,?,NO,YES
ID12182,?,MALE,INNER_CITY,27808.1,NO,3,NO,NO,YES,?,NO
ID12183,29,FEMALE,INNER_CITY,12591.4,?,1,NO,YES,YES,NO,NO
ID12184,35,?,INNER_CITY,?,YES,1,NO,YES,?,NO,YES
ID12185,62,MALE,INNER_CITY,?,YES,?,NO,NO,YES,?,YES
ID12186,36,MALE,INNER_CITY,31683.1,YES,1,YES,?,YES,NO,YES
ID12187,25,FEMALE,?,15525,YES,?,NO,YES,YES,NO,NO
ID12188,?,FEMALE,TOWN,22562.2,NO,0,YES,YES,YES,YES,NO
ID12189,30,?,SUBURBAN,15848.7,YES,0,?,YES,NO,YES,NO
ID12190,54,FEMALE,INNER_CITY,31095.6,YES,2,NO,NO,?,NO,YES
ID12191,37,MALE,TOWN,24814.5,YES,?,YES,NO,YES,YES,YES
ID12192,28,FEMALE,INNER_CITY,25429.3,NO,2,NO,YES,YES,YES,NO
ID12193,53,FEMALE,RURAL,34866.5,NO,?,?,NO,YES,NO,YES
ID12194,61,MALE,INNER_CITY,42579.1,?,2,YES,YES,YES,NO,NO
ID12195,61,?,INNER_CITY,41127.4,YES,0,?,YES,NO,NO,NO
ID12196,18,FEMALE,INNER_CITY,9990.11,YES,0,NO,YES,?,NO,NO
ID12197,22,MALE,?,7948.62,?,1,NO,?,?,YES,NO
ID12198,34,MALE,TOWN,30870.8,YES,2,YES,YES,?,YES,YES
ID12199,?,FEMALE,INNER_CITY,12125.8,NO,2,NO,YES,YES,NO,NO
ID12200,18,?,RURAL,15348.9,YES,?,YES,NO,YES,?,NO
ID12201,?,?,INNER_CITY,?,YES,?,NO,YES,?,YES,YES
ID12202,27,FEMALE,INNER_CITY,?,YES,2,YES,YES,?,?,NO
ID12203,42,MALE,INNER_CITY,15499.9,YES,0,YES,NO,YES,YES,YES
ID12204,43,?,TOWN,33088.5,NO,0,NO,YES,?,YES,NO
ID12205,64,FEMALE,INNER_CITY,34513.6,YES,1,NO,YES,?,NO,YES
ID12206,43,MALE,TOWN,?,YES,3,?,YES,YES,?,NO
ID12207,?,MALE,RURAL,?,YES,0,?,YES,NO,NO,NO
ID12208,23,MALE,INNER_CITY,?,?,0,?,NO,YES,NO,NO
ID12209,23,?,INNER_CITY,12681.9,?,0,NO,YES,YES,NO,YES
ID12210,30,FEMALE,INNER_CITY,24031.5,YES,2,YES,YES,YES,?,NO
ID12211,36,MALE,TOWN,37330.5,?,2,NO,?,YES,?,YES
ID12212,34,?,INNER_CITY,25333.2,YES,3,YES,NO,NO,YES,NO
ID12213,51,FEMALE,INNER_CITY,37094.2,YES,0,YES,?,YES,NO,NO
ID12214,36,MALE,TOWN,33630.6,?,2,YES,YES,YES,NO,YES
ID12215,56,MALE,INNER_CITY,43228.2,YES,?,YES,YES,YES,NO,YES
ID12216,54,FEMALE,INNER_CITY,47796.8,YES,0,?,YES,?,NO,NO
ID12217,56,?,TOWN,21730.3,YES,2,NO,YES,NO,?,NO
ID12218,26,MALE,INNER_CITY,10044.1,YES,3,NO,?,?,YES,NO
ID12219,39,MALE,TOWN,17270.1,?,0,YES,NO,NO,NO,YES
ID12220,64,FEMALE,?,45765,YES,?,YES,YES,YES,NO,YES
ID12221,46,MALE,RURAL,29525.5,NO,2,NO,YES,NO,YES,NO
ID12222,62,FEMALE,RURAL,54863.8,?,?,YES,YES,YES,?,YES
ID12223,36,FEMALE,TOWN,?,YES,?,NO,YES,NO,YES,YES
ID12224,35,?,RURAL,33028.3,NO,1,?,YES,YES,NO,YES
ID12225,47,MALE,RURAL,45031.9,NO,3,YES,?,NO,NO,YES
ID12226,47,MALE,INNER_CITY,39010.8,YES,2,NO,?,YES,?,YES
ID12227,37,FEMALE,TOWN,25257.7,YES,0,YES,?,YES,NO,NO
ID12228,48,FEMALE,INNER_CITY,42603.9,?,0,NO,YES,YES,NO,NO
ID12229,41,MALE,?,14092.7,?,3,YES,?,YES,NO,NO
ID12230,27,FEMALE,RURAL,?,NO,0,YES,YES,YES,NO,YES
ID12231,43,MALE,INNER_CITY,23246.4,?,2,NO,NO,YES,NO,NO
ID12232,61,MALE,RURAL,41609.5,YES,3,?,YES,YES,YES,NO
ID12233,52,FEMALE,SUBURBAN,16716.1,NO,?,?,YES,YES,NO,NO
ID12234,64,?,SUBURBAN,36436.4,YES,0,YES,NO,YES,NO,NO
ID12235,66,?,TOWN,59503.8,YES,2,YES,YES,YES,YES,YES
ID12236,53,FEMALE,?,31334.8,YES,1,YES,YES,?,NO,YES
ID12237,20,FEMALE,INNER_CITY,?,?,2,YES,NO,YES,YES,NO
ID12238,?,FEMALE,INNER_CITY,39205.3,NO,0,NO,YES,?,NO,YES
ID12239,65,FEMALE,RURAL,?,?,?,?,YES,YES,NO,NO
ID12240,?,FEMALE,INNER_CITY,55263,NO,1,NO,YES,YES,?,YES
ID12241,52,MALE,INNER_CITY,37095.2,YES,3,NO,YES,YES,NO,NO
ID12242,47,FEMALE,INNER_CITY,22791.4,YES,0,NO,?,YES,?,NO
ID12243,28,FEMALE,TOWN,17240.6,YES,1,YES,NO,NO,YES,NO
ID12244,64,MALE,TOWN,?,YES,?,YES,YES,?,YES,NO
ID12245,25,MALE,INNER_CITY,?,?,1,NO,YES,YES,NO,YES
ID12246,58,MALE,SUBURBAN,?,YES,0,NO,YES,?,YES,YES
ID12247,34,MALE,TOWN,20236.2,YES,2,?,NO,YES,NO,NO
ID12248,?,FEMALE,?,18860.3,NO,?,NO,?,?,NO,NO
ID12249,?,MALE,RURAL,25732.5,YES,0,YES,YES,?,NO,NO
ID12250,?,FEMALE,?,28240.4,YES,?,YES,YES,YES,NO,NO
ID12251,53,MALE,RURAL,28193.6,YES,?,YES,YES,?,NO,YES
ID12252,43,?,TOWN,36432.8,?,2,?,NO,?,?,YES
ID12253,63,?,?,?,?,2,NO,YES,NO,YES,YES
ID12254,33,?,?,24760.8,?,1,?,YES,?,YES,YES
ID12255,41,MALE,RURAL,23356.1,NO,?,YES,NO,?,NO,NO
ID12256,20,FEMALE,?,8143.75,YES,2,?,YES,YES,?,YES
ID12257,50,MALE,TOWN,?,YES,?,YES,YES,?,NO,NO
ID12258,24,MALE,RURAL,20467.3,?,?,YES,YES,YES,NO,NO
ID12259,60,FEMALE,TOWN,21506.2,YES,?,NO,NO,YES,NO,YES
ID12260,?,?,TOWN,15315.3,YES,1,?,YES,YES,NO,YES
ID12261,23,MALE,INNER_CITY,18875.7,YES,2,YES,?,?,?,NO
ID12262,40,FEMALE,INNER_CITY,12977.2,YES,0,?,NO,NO,NO,NO
ID12263,49,FEMALE,TOWN,20708.5,NO,3,NO,?,YES,NO,NO
ID12264,21,FEMALE,TOWN,7549.38,NO,1,YES,NO,YES,NO,NO
ID12265,?,FEMALE,INNER_CITY,24904,?,?,NO,NO,NO,NO,NO
ID12266,26,MALE,RURAL,24071.8,YES,1,NO,NO,YES,YES,YES
ID12267,20,?,TOWN,9589.91,NO,1,NO,YES,YES,YES,NO
ID12268,24,MALE,?,8562.86,NO,1,NO,NO,NO,YES,NO
ID12269,37,FEMALE,TOWN,?,NO,0,YES,YES,?,?,NO
ID12270,?,MALE,INNER_CITY,34020.5,YES,0,NO,NO,YES,NO,NO
ID12271,?,?,INNER_CITY,?,YES,0,?,YES,YES,NO,NO
ID12272,22,MALE,INNER_CITY,19726.3,YES,2,NO,NO,?,NO,NO
ID12273,?,?,INNER_CITY,24346.6,YES,3,YES,YES,YES,NO,NO
ID12274,34,MALE,RURAL,26999.4,YES,?,YES,YES,YES,NO,YES
ID12275,67,?,TOWN,41558.1,YES,2,NO,YES,YES,NO,YES
ID12276,58,FEMALE,INNER_CITY,56340.3,NO,0,?,YES,YES,NO,YES
ID12277,40,MALE,TOWN,37558.5,YES,0,?,YES,YES,NO,NO
ID12278,?,FEMALE,INNER_CITY,30099.3,YES,0,YES,YES,?,YES,YES
ID12279,43,MALE,INNER_CITY,15254.8,?,0,NO,NO,NO,NO,YES
ID12280,?,?,?,36086.1,YES,2,NO,NO,YES,NO,YES
ID12281,?,FEMALE,?,17655,YES,1,NO,YES,YES,YES,YES
ID12282,?,MALE,?,56658.9,NO,0,NO,YES,YES,NO,YES
ID12283,65,FEMALE,INNER_CITY,37706.5,?,0,?,YES,YES,YES,NO
ID12284,48,FEMALE,INNER_CITY,18516,?,2,YES,YES,?,YES,NO
ID12285,38,FEMALE,INNER_CITY,29622,?,?,?,YES,NO,YES,NO
ID12286,49,MALE,RURAL,32669.9,YES,1,YES,YES,YES,YES,YES
ID12287,20,FEMALE,INNER_CITY,18275.5,YES,?,NO,NO,NO,YES,YES
ID12288,?,FEMALE,TOWN,34410,YES,?,NO,NO,YES,NO,YES
